repository,uid,path,type,state,parentRef,isCheckedOut,isVersion,isProxy,proxyTargetId,versionableId,changeToken,isTrashed,title,versionLabel,lockOwner,lockCreated,lastModified,isRecord,retainUntil,hasLegalHold,isUnderRetentionOrLegalHold,common:icon,common:icon-expanded,dc:contributors,dc:coverage,dc:coverage[label],dc:created,dc:creator,dc:description,dc:expired,dc:format,dc:issued,dc:language,dc:language[label],dc:lastContributor,dc:modified,dc:nature,dc:nature[label],dc:publisher,dc:rights,dc:source,dc:subjects,dc:subjects[label],dc:title,dc:valid,file:content,uid:major_version,uid:minor_version,uid:uid
default,402a44b2-18a5-411e-9a65-a4d4e2cc8090,/default-domain/workspaces/test/img5,File,project,211952f5-0160-4480-8b90-4583e24030f1,false,false,false,,,3-0,false,img5,0.1,,,2022-11-23T21:16:42.079+08:00[Asia/Shanghai],false,,false,false,/icons/image.gif,,Administrator,,,2022-11-23T13:16:42.079Z,Administrator,,,,,,,Administrator,2022-11-23T13:16:42.079Z,,,,,,,,img5,,type content is not supported,0,1,
default,5261a56a-aecb-4847-aa29-ccff01845634,"/default-domain/workspaces/test/video ",File,project,211952f5-0160-4480-8b90-4583e24030f1,false,false,false,,,8-0,false,"video ",0.2,,,2022-11-24T15:47:28.173+08:00[Asia/Shanghai],false,,false,false,/icons/image.gif,,Administrator,,,2022-11-24T07:40:16.198Z,Administrator," like watch video",,,,,,Administrator,2022-11-24T07:47:28.173Z,,,,,,,,"video ",,type content is not supported,0,2,
default,9e47da72-78af-4bbf-8469-46511dda611b,/default-domain/workspaces/test/img4,File,project,211952f5-0160-4480-8b90-4583e24030f1,true,false,false,,,4-0,false,"vlog ",0.1+,,,2022-11-24T15:38:56.966+08:00[Asia/Shanghai],false,,false,false,/icons/image.gif,,Administrator,,,2022-11-23T13:16:32.479Z,Administrator,,,,,,,Administrator,2022-11-24T07:38:56.966Z,,,,,,,,"vlog ",,type content is not supported,0,1,
default,cb72b7c1-7f13-4e95-9972-2406883db383,/default-domain/workspaces/test/picture test,Picture,project,211952f5-0160-4480-8b90-4583e24030f1,false,false,false,,,3-0,false,picture test,0.1,,,2022-11-25T14:26:26.858+08:00[Asia/Shanghai],false,,false,false,/icons/image.gif,,Administrator,,,2022-11-25T06:26:26.858Z,Administrator,,,,,,,Administrator,2022-11-25T06:26:26.858Z,,,,,,,,picture test,,type content is not supported,0,1,
default,d0a60b81-5b5f-4a4c-9841-fe62f15ff18a,/default-domain/workspaces/test/Testing folder,Folder,project,211952f5-0160-4480-8b90-4583e24030f1,true,false,false,,,0-0,false,Testing folder,,,,2022-11-28T19:20:50.434+08:00[Asia/Shanghai],false,,false,false,/icons/folder.gif,,Administrator,,,2022-11-28T11:20:50.434Z,Administrator,,,,,,,Administrator,2022-11-28T11:20:50.434Z,,,,,,,,Testing folder,,,,,
default,e89af12c-88f9-4b1d-b30f-4e4c1953564f,/default-domain/workspaces/test/word test,Note,project,211952f5-0160-4480-8b90-4583e24030f1,false,false,false,,,3-0,false,word test,0.2,,,2022-11-25T14:28:38.618+08:00[Asia/Shanghai],false,,false,false,/icons/note.gif,,Administrator,,,2022-11-25T06:28:06.447Z,Administrator,,,,,,,Administrator,2022-11-25T06:28:38.618Z,,,,,,,,word test,,,0,2,
default,ef452646-c0ba-43ee-a7f1-fba591d0148d,/default-domain/workspaces/test/video test,Video,project,211952f5-0160-4480-8b90-4583e24030f1,false,false,false,,,4-0,false,video test,0.1,,,2022-11-25T14:32:55.812+08:00[Asia/Shanghai],false,,false,false,/icons/video.png,,Administrator,,,2022-11-25T06:32:55.812Z,Administrator,,,,,,,Administrator,2022-11-25T06:32:55.812Z,,,,,,,,video test,,type content is not supported,0,1,
